Company,Tender_details,Tender_no,Procurement_category,Govt_agency,Company_registration_no,Company_registration_no_with_MOF,Value_RM
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN RECOMBINANT SYNTHETIC HUMAN BIPHASIC ISOPHANE INSULIN 100IU/ML IN 3ML CARTRIDGE,X0251010304110080,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,55133102.5
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN RECOMBINANT SYNTHETIC HUMAN INSULIN SHORT ACTING & INTERMEDIATE ACTING 100IU/ML IN 3ML CARTRIDGE,T/P&P 25/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,38409998.9
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN SEVOFLURANCE LIQUID,KK (S) 35 (1) F (U) 111/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,20047568.1
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL SEVOFLURANCE 250ML SOLUTION.,15/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,16865856
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN SEVOFLURANE LIQUID,T/P&P 19/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,15612084
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL SEVOFLURANCE LIQIUD,T/P&P : 19/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,15612084
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN BLOOD GLUCOSE STRIP AND GLUCOMETER UNTUK KEGUNAAN HOSPITAL-HOSPITAL KKM,T/P&P : 120/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,13710933
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL :- A) FELODIPINE 10MG TABLET B) FELODIPINE 5MG TABLET,83/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,11367788.88
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN LOSARTAN 50MG TABLET,KK(S)35(1)F(U)11/2010,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,9836550
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN CLOZAPINE TABLET SECARA PAKEJ: (A) CLOZAPINE 25MG TABLET (B) CLOZAPINE 100MG TABLET,T/P&P : 72/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,9576673.8
PHARMANIAGA LOGISTICS,TAWARAN BAGI PEMBEKALAN DESFLURANCE LIQIUD,No Jadual :T/P&p 130/2013,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,9473076
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN ATORVASTATIN TABLET SECARA PAKEJ : A) ATORVASTATIN 20MG TABLET B)ATORVASTATIN 80MG TABLET,T/P&P : 44/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,8636609.5
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN CLOZAPINE SECARA PAKEJ: I) CLOZAPINE 25 MG TABLET II) CLOZAPINE 100 MG TABLET,No. Jadual T/P&P: 9/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,7023301.25
PHARMANIAGA LOGISTICS,"TAWARAN PEMBEKALAN VITAMIN B1,B6,B12 TABLET",T/P&P : 111/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,6889769.6
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN LABETALOL HCL 25MG/5ML INJECTION,T/P&P 13/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,6340695.7
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN MAGNESIUM TRISILICATE MIXTURE,No. Jadual T/P&P: 20/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,5864707.2
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN SODIUM VALPROATE 200MG/5ML SYRUP,X0251010304110061,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,5627328
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN DESFLURANE LIQUID,X0251010304110053,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4799460
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN SODIUM CHLORIDE 0.9% FOR IRRAGATION 500ML,KK(S)35(1)F(U)19/2010,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4645932.6
PHARMANIAGA LOGISTICS,TAWARAN BAGI MEMBEKAL RECOMBINANT COAGULATION FACTOR VIIA,T/P&P 110/2010,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4511055
PHARMANIAGA LOGISTICS,MEMBEKAL RECOMBINANT COAGULATION FACTOR VIIA,KKM-110/2010(250/2010)PDN(BU),BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4511055
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN BUPIVACAINE HCL 0.5 W/V HEAVY INJECTION,T/P&P 152/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4502880
PHARMANIAGA LOGISTICS,TAWARAN BAGI PEMBEKALAN METFORMIN + GLIBECLAMIDE TABLET/KAPSUL SECARA PAKEJ : I) METFORMIN 500MG+GLIBENCLAMIDE 2.5MG TABLET/KAPSUL II) METFORMIN 500MG + GLIBENCLAMIDE 5MG TABLET/KAPSUL,No Jadual :T/P&P: 139/2013,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4387930.75
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN STERILE WATER FOR IRRIGATION 500ML,T/P&P : 85/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,4130528
PHARMANIAGA LOGISTICS,TAWARAN BAGI MEMBEKAL FACTOR VII (RECOMBINANT) EPTACOG ALFA (ACTIVATED) 60 KIU (1.2MG) INJECTION,41/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,4125628
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL TRAMADOL HCL 50MG KAPSUL,177/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,3640837.2
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN GOSERELIN 3.6M DEPOT INJECTION,X0251010304120026,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,3458837.25
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN ROCURONIUM BROMIDE 10MG TABLET/ ML INJECTION,No Jadual : T/P&P : 84/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,3457107.6
PHARMANIAGA LOGISTICS,TAWARAN BAGI MEMBEKAL :- A) IRBESARTAN 150MG TABLET B) IRBESARTAN 300MG TABLET,42/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,2870910
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN HYPROMELLOSE 0.3%W/V EYE DROP,T/P&P : 114/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,2598231
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL ACETYLSALICYLIC ACID 100MG + GLYCINE 45MG TABLET,147/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,2575879.5
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN STERILE HAEMODIALYSIS FISTULA NEEDLE BAGI KEGUNAAN RAWATAN HAEMODIALISIS HOSPITAL-HOSPITAL KKM NO TENDER : X0251010304120076,T/P&P : 92/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,2488382
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN RISPERIDONE TABLET SECARA PAKEJ: A) RISPERIDONE 1MG TABLET; B) RISPERIDONE 2MG TABLET,X0251010304110083,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,2251928.1
PHARMANIAGA LOGISTICS,TAWARAN OEMBEKALAN DOCETAXEL INJECTION SECARA PAKEJ: (A) DOCETAXEL 20MG/0.5ML INJECTION (B) DOCETAXEL 80MG/2ML INJECTION,X0251010304120055,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,1961993.2
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN OMEPRAZOLE 40MG INJECTION,No Jadual : T/P&P : 82/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,1874700
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN BASILIXIMAB 20MG INJECTION,T/P&P 37/2011,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,1752400
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKALKAN GABAPENTIN 300MG TABLET/KAPSUL,T/P& P 115/2013,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,1354777.6
PHARMANIAGA LOGISTICS,TAWARAN PEMBEKALAN ENALAPRIL MALEATE 10MG TABLET/ KAPSUL,T/P&P : 123/2012,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,892247.5
PHARMANIAGA LOGISTICS,"MEMBEKAL, MENGHANTAR, MEMASANG DAN KOMISEN ""DENSITOMETER, BONE SCANNING SYSTEM"" KE HOSPITAL UNIVERSITI SAINS MALAYSIA, KAMPUS KESIHATAN,",T/B/HUSM/13/9,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,760000
PHARMANIAGA LOGISTICS,TAWARAN TENDER BAGI MEMBEKAL VECURONIUM BROMIDE 10MG/5ML INJECTION.,16/2009,BEKALAN,KEMENTERIAN KESIHATAN,,357-00034455,543713.56
PHARMANIAGA LOGISTICS,PPUKM KEW 26/2008 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN BIJI KE JABATAN FARMASI PUSAT PERUBATAN UKM (BEKALAN SECARA BERPERINGKAT UNTUK TEMPOH SEHINGGA 2/11/2010),PPUKM KEW 26/2008,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,456800
PHARMANIAGA LOGISTICS,BEKALAN UBAT,QTN:8/12,BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,128560
PHARMANIAGA LOGISTICS,PPUKM KEW 36/2009 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN SUNTIK DAN UBAT TITIS MATA KE JABATAN FARMASI UNTUK KEGUNAAN KEDAI FARMASI PUSAT PERUBATAN UKM,PPUKM KEW 36/2009,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,65835
PHARMANIAGA LOGISTICS,"PPUKM KEW 21/2009 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN SIRUP, LARUTAN IV DRIP, UBAT SEDUT DAN UBAT TITIS MATA KE JABATAN FARMASI PUSAT PERUBATAN UKM (BEKALAN SECARA BERPERINGKAT UNTUK TEMPOH SEHINGGA 31/12/2010)",PPUKM KEW 21/2009,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,58968
PHARMANIAGA LOGISTICS,PPUKM KEW 53/2009 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN BIJI KE JABATAN FARMASI UNTUK KEGUNAAN KEDAI FARMASI PUSAT PERUBATAN UKM (BEKALAN SECARA BERPERINGKAT UTK TEMPOH SEHINGGA 31/12/2011) (RUJUK JADUAL PENGHANTARAN JAB. FARMASI),PPUKM KEW 53/2009,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,51160
PHARMANIAGA LOGISTICS,PPUKM KEW 59/2008 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN MISCELLANEOUS KE JABATAN FARMASI PUSAT PERUBATAN UKM (PEMBEKALAN SECARA BERPERINGKAT UNTUK TEMPOH SEHINGGA 31/12/2010) - RUJUK JABATAN FARMASI BAGI JADUAL PENGHANTARAN,PPUKM KEW 59/2008,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,41000
PHARMANIAGA LOGISTICS,PPUKM KEW 53/2009 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN BIJI KE JABATAN FARMASI UNTUK KEGUNAAN KEDAI FARMASI PUSAT PERUBATAN UKM (BEKALAN SECARA BERPERINGKAT UTK TEMPOH SEHINGGA 31/12/2011) (RUJUK JADUAL PENGHANTARAN JAB. FARMASI),PPUKM KEW 53/2009,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,32000
PHARMANIAGA LOGISTICS,BEKALAN UBAT,KKM-09/2011(65/2011)F(U),BEKALAN,KEMENTERIAN KESIHATAN,260790-T,,17800
PHARMANIAGA LOGISTICS,PPUKM KEW 53/2009 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN BIJI KE JABATAN FARMASI PUSAT PERUBATAN UKM (BEKALAN SECARA BERPERINGKAT UNTUK TEMPOH SEHINGGA 31/12/2010) - SILA RUJUK JABATAN FARMASI,PPUKM KEW 53/2009,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,16000
PHARMANIAGA LOGISTICS,PPUKM KEW 59/2008 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN MISCELLANEOUS KE JABATAN FARMASI PUSAT PERUBATAN UKM.,PPUKM KEW 59/2008,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,10250
PHARMANIAGA LOGISTICS,PPUKM KEW 60/2008 - MEMBEKAL DAN MENGHANTAR UBAT UBATAN ENDOKRIN KE JABATAN FARMASI PUSAT PERUBATAN UKM,PPUKM KEW 60/2008,BEKALAN,KEMENTERIAN PENGAJIAN TINGGI,260790-T,,6000
PHARMANIAGA LOGISTICS,"PEROLEHAN MEMBEKAL DAN MENGHANTAR HEPATITIS B SURFACE ANTIGEN UNTUK UNIT-UNIT BAHAGIAN PERKHIDMATAN KESIHATAN (BPK), MARKAS ANGKATAN TENTERA MALAYSIA SELURUH MALAYSIA.",KP(PERO-4)B/T248/2008,BEKALAN,KEMENTERIAN PERTAHANAN,260790-T,357-00034455,900000
