Total Result	8610
M.S. ALLY PHARMA SDN. BHD.	167
PRIMABUMI SDN. BHD.	164
SWENZTRONIC SERVICES SDN. BHD.	154
ALL HEALTH MEDICAL SUPPLIES	125
BETTER HEALTH ENTERPRISE	97
SUAUT ENTERPRISE SDN. BHD.	79
MARIGOLD PHARMACY	77
QUALITY REPUTATION SDN. BHD.	73
EASTERN OXYGEN INDUSTRIES SDN. BHD.	67
MUTIARA MURNI SDN. BHD.	66
WIJA PHARMA SDN BHD	59
MEDICA RESOURCES SDN. BHD.	52
3A PHARMA SDN. BHD.	48
PHARMANIAGA LOGISTICS SDN. BHD.	43
MEDIK AVENUE	39
PRIMABUMI SDN BHD	38
LOT MEDISAINS SDN. BHD.	34
TANCAH SDN. BHD.	34
PPU ENTERPRISE SDN. BHD.	28
GELIGA SISTEM SDN. BHD.	26
SYARIKAT HASSMEDIC	26
TAMASETIA RESOURCES SDN. BHD.	26
ASILAH SERVICES	21
PUSAKA BUMISAINS	21
ROBERT SCIENTIFIC COMPANY SDN. BHD.	21
TELEKOM MALAYSIA BERHAD	20
SMART RICH GLOBAL SERVICES	18
ALAM MEDIK SDN. BHD.	16
HEITECH PADU BERHAD	16
PERUSAHAAN ISHAM SDN. BHD.	16
PHARMASERV ALLIANCES SDN. BHD.	16
T G JASA ENTERPRISE SDN. BHD.	16
ARMVET (MALAYSIA) SDN. BHD.	15
FIDIN UNIVERSAL SDN. BHD.	14
MESINIAGA BERHAD	14
AIN MEDICARE SDN. BHD.	13
KHATIJAH DARUS ENTERPRISE	13
MEDILIANCE (M) SDN. BHD.	13
SINERGI IKRAM (M) SDN. BHD.	13
TERAJU FARMA SDN. BHD.	13
IDAMAN PHARMA SDN. BHD.	12
PROBIL INDUSTRIES (M) SDN. BHD.	12
LAZCORP HOLDINGS SDN. BHD.	11
SYARIKAT WAWASAN D.S.TIGA	11
FORMIS NETWORK SERVICES SDN. BHD.	10
SYARIKAT MEDITEK SUPPLIES	10
BETTER HEALTH SDN. BHD.	9
ENCORAL DIGITAL SOLUTIONS SDN. BHD.	9
NIGHT ELECTRONICS (M) SDN.BHD	9
PERNIAGAAN BEKALAN ABADI SDN. BHD.	9
QUALITY REPUTATION SDN BHD	9
SYARIKAT TAKAFUL MALAYSIA BERHAD	9
WIJA TRADING COMPANY	9
HARTA JALI ENTERPRISE	8
MUTIARA MURNI SDN BHD	8
N.A.Z. MEDICAL SUPPLIES SDN. BHD.	8
PERISAI BERNAS (M) SDN. BHD.	8
SOLUNET SDN. BHD.	8
ANUGERAH SAINTIFIK SDN. BHD.	7
BASENET TECHNOLOGY SDN. BHD.	7
BRILLIANCE INFORMATION SDN BHD	7
EDARAN IT SERVICES SDN. BHD.	7
GLOBAL KOMITED SDN. BHD.	7
KASAD MURNI (M) SDN. BHD.	7
KEJURUTERAAN BUMI UTAMA SDN. BHD.	7
KUKUH SAGA SECURITY SERVICES SDN. BHD.	7
MEDITEK EQUIPMENT SDN. BHD.	7
MURSYIDAH TRADING	7
PHARMANIAGA LOGISTICS SDN BHD	7
PROGRESSIVE SECURITY SERVICES SDN. BHD.	7
TELITI COMPUTERS SDN. BHD.	7
TREE MED SDN. BHD.	7
TREND-NICS SDN. BHD.	7
AE SECURITY SYSTEM SDN. BHD.	6
ASAR ASSOCIATES (M) SDN. BHD.	6
AVERROES PHARMACEUTICALS SDN. BHD.	6
BUSINESS INFORMATION TECHNOLOGY (M) SDN. BHD.	6
GESMOR SDN. BHD.	6
IBIS SECURITY SERVICES SDN. BHD.	6
IFS FACTORS (MALAYSIA) SDN. BHD.	6
KAWAL WIRAMAS SDN. BHD.	6
KRISTAL KUKUH SDN. BHD.	6
LEGASI NIAGA SERVICES	6
METRO SECURITY SERVICES SDN. BHD.	6
MOZA SECURITY SERVICES (M) SDN. BHD.	6
NORDIN DRM ENTERPRISE	6
PERSADA DIGITAL SDN. BHD.	6
AGIH TINTA SDN. BHD.	5
ALIFYA SECURITY SDN. BHD.	5
AMP CORPORATION (M) SDN BHD	5
AWARA SECURITY SERVICES (M) SDN. BHD.	5
BORNEO PHARMACY SUPPLIES SDN. BHD.	5
CERDIK PUBLICATIONS SDN. BHD.	5
FAJAR BESTARI ENTERPRISE	5
FILUX SDN BHD	5
GRATIS MAJU ENTERPRISE	5
HELCOM ENGINEERING CORPORATION SDN. BHD.	5
IBA SECURITY SDN. BHD.	5
IDAMAN PHARMA SDN BHD	5
INDASIA SECURITY SERVICES SDN. BHD.	5
JAKEL TRADING	5
K.U.S INDUSTRIES (M) SDN. BHD.	5
KEJURUTERAAN TNH SDN. BHD.	5
KHARISMA WIRA SDN. BHD.	5
LAZIM PURNAMA SDN. BHD.	5
