company	value	value_percent	contract	contract_percent	value_per_contract	registration_no	registration_no_with_MOF		This is the table to be input into HTML	
PRIMABUMI	876,236,864	2.74%	202	2.27%	4,337,806	24896-H	357-40009610		total companies	4207
INAI KIARA - HWA CHI JV	808,330,222	2.52%	1	0.01%	808,330,222	WAIVED			% top companies	0.0237699073
AHMAD ZAKI	689,110,639	2.15%	4	0.05%	172,277,660	81250-W			Average value	121590993.617
QUALITY REPUTATION	511,034,158	1.60%	82	0.92%	6,232,124	603865-D			% top companies (contracts)	0.1009453072
PERTAMA PADI	388,650,000	1.21%	1	0.01%	388,650,000	804404-K			Average contract	16.0707070707
DATASONIC TECHNOLOGIES	378,387,458	1.18%	6	0.07%	63,064,576	219626-X				
BRILLIANCE INFORMATION	357,312,434	1.12%	9	0.10%	39,701,382	374044-H				
PHARMANIAGA LOGISTICS	325,908,913	1.02%	52	0.59%	6,267,479	260790-T				
TARGET RESOURCES	301,250,000	0.94%	2	0.02%	150,625,000	153178-V				
HEITECH PADU	296,222,370	0.92%	16	0.18%	18,513,898	310-628-D	357-00044594			
LOH & LOH-GEORGE KENT-HAZAMA JV	265,925,352	0.83%	1	0.01%	265,925,352	0	0			
M S ALLY PHARMA	263,844,262	0.82%	179	2.01%	1,473,990	0				
INNOVATION ASSOCIATES	228,843,215	0.71%	1	0.01%	228,843,215	555149-U				
LEADSHINE	190,239,166	0.59%	3	0.03%	63,413,055	203535-M				
GTC GLOBAL	179,613,600	0.56%	3	0.03%	59,871,200	559823 P	357-02056688			
SRI TINGGI	173,300,000	0.54%	1	0.01%	173,300,000	83182-D				
PANZANA ENTERPRISE	163,000,000	0.51%	1	0.01%	163,000,000	83573-P				
SUNISSA	157,338,838	0.49%	1	0.01%	157,338,838					
REMT UTAMA	151,768,426	0.47%	2	0.02%	75,884,213	409864-W				
TREE MED	151,314,336	0.47%	8	0.09%	18,914,292	530993-K				
MUTIARA MURNI	148,754,015	0.46%	74	0.83%	2,010,189	162999-M				
NIAZ ENTERPRISES	146,145,000	0.46%	1	0.01%	146,145,000	347274-D				
TELEKOM MALAYSIA	144,527,440	0.45%	20	0.23%	7,226,372	128740-P	0			
PEREMEGA	135,896,535	0.42%	1	0.01%	135,896,535	503006-D				
EMPAYAR SETIA	114,090,311	0.36%	1	0.01%	114,090,311	239721-U				
PEMBINAAN MITRAJAYA	108,474,821	0.34%	4	0.05%	27,118,705	144554-T				
PUNCAK TEKNOLOGI	107,958,760	0.34%	5	0.06%	21,591,752	454105-H	357-01005306			
EGA ELEKTRIKAL (ESAJADI-GUMI ELEKTIKAL JV)	99,999,995	0.31%	1	0.01%	99,999,995	#N/A	#N/A			
PERKASA SUTERA	97,000,000	0.30%	1	0.01%	97,000,000	202685-V	1401 A 93 0270			
CAKNA ENTERPRISE	95,955,556	0.30%	1	0.01%	95,955,556					
RUMAKAYA	95,947,147	0.30%	2	0.02%	47,973,573	385344-V				
WBS CONSTRUCTION	93,003,861	0.29%	1	0.01%	93,003,861	502388-A				
JAWAT JOHAN	92,950,654	0.29%	2	0.02%	46,475,327	522994-U				
KENCANA HL-LEIGHTON JV	91,909,932	0.29%	1	0.01%	91,909,932	0	0102 A 2003 0548			
MENTA CONSTRUCTION	91,636,716	0.29%	2	0.02%	45,818,358	83199-M				
TAMASETIA RESOURCES	91,088,599	0.28%	30	0.34%	3,036,287	434647-T				
